DES,T,STK,SMART,,,,,BOT|3/21/2011|3|+NRB|+NRB
DES,AMT,STK,SMART,,,,,SLD|3/21/2011|2|+NRB|+NRB
DES,DISH,STK,SMART,,,,,SLD|3/21/2011|2|+NRB|+NRB
DES,DTV,STK,SMART,,,,,SLD|3/21/2011|3|+NRB|+NRB
DES,XNPT,STK,SMART,,,,,SLD|3/21/2011|3|+NRB|+NRB
DES,DANG,STK,SMART,,,,,BOT|3/22/2011|3|-NRB|-NRB
DES,WAG,STK,SMART,,,,,SLD|3/22/2011|3|-NRB|-NRB
DES,CTAS,STK,SMART,,,,,BOT|3/23/2011|2|-NRB|+NRBBT
DES,AOL,STK,SMART,,,,,BOT|3/23/2011|3|-NRB|+NRBBT
DES,JBL,STK,SMART,,,,,BOT|3/23/2011|3|-NRB|+NRBBT
DES,CREE,STK,SMART,,,,,SLD|3/23/2011|3|-NRB|+NRBBT
DES,BAC,STK,SMART,,,,,SLD|3/23/2011|3|-NRB|+NRBBT
DES,GIS,STK,SMART,,,,,SLD|3/23/2011|4|-NRB|+NRBBT
DES,CHRS,STK,SMART,,,,,BOT|3/24/2011|2|+NRB|+NRBBT
DES,RHT,STK,SMART,,,,,BOT|3/24/2011|3|+NRB|+NRBBT
DES,BBY,STK,SMART,,,,,BOT|3/24/2011|3|+NRB|+NRBBT
DES,TLB,STK,SMART,,,,,BOT|3/24/2011|3|+NRB|+NRBBT
DES,GME,STK,SMART,,,,,BOT|3/24/2011|3|+NRB|+NRBBT
DES,WTSLA,STK,SMART,,,,,BOT|3/25/2011|2|+NRB|+NRBBT
DES,ACN,STK,SMART,,,,,BOT|3/25/2011|3|+NRB|+NRBBT
DES,ORCL,STK,SMART,,,,,BOT|3/25/2011|3|+NRB|+NRBBT
DES,FINL,STK,SMART,,,,,BOT|3/25/2011|3|+NRB|+NRBBT
DES,RIMM,STK,SMART,,,,,SLD|3/25/2011|2|+NRB|+NRBBT
DES,HMY,STK,SMART,,,,,SLD|3/25/2011|3|+NRB|+NRBBT
DES,PVH,STK,SMART,,,,,BOT|3/29/2011|3|-NRB|+NRB
DES,APOL,STK,SMART,,,,,SLD|3/29/2011|3|-NRB|+NRB
DES,PPG,STK,SMART,,,,,BOT|3/30/2011|3|+NRB|+NRB
DES,FDO,STK,SMART,,,,,BOT|3/30/2011|3|+NRB|+NRB
DES,BLK,STK,SMART,,,,,BOT|3/30/2011|3|+NRB|+NRB
DES,CLNE,STK,SMART,,,,,BOT|3/30/2011|3|+NRB|+NRB
DES,DNDN,STK,SMART,,,,,BOT|3/31/2011|2|+NRB|-NRB
DES,DRYS,STK,SMART,,,,,BOT|3/31/2011|3|+NRB|-NRB
DES,AUO,STK,SMART,,,,,BOT|3/31/2011|3|+NRB|-NRB
DES,ES,STK,SMART,,,,,SLD|3/31/2011|2|+NRB|-NRB
DES,LVS,STK,SMART,,,,,SLD|3/31/2011|3|+NRB|-NRB
DES,KMX,STK,SMART,,,,,SLD|3/31/2011|3|+NRB|-NRB
DES,NYX,STK,SMART,,,,,BOT|4/1/2011|3|+NRB|-NRB
DES,HBAN,STK,SMART,,,,,BOT|4/1/2011|3|+NRB|-NRB
DES,MED,STK,SMART,,,,,SLD|4/1/2011|3|+NRB|-NRB
DES,KKD,STK,SMART,,,,,SLD|4/1/2011|3|+NRB|-NRB
DES,VVUS,STK,SMART,,,,,BOT|4/4/2011|2|-NRB|-NRB
DES,MCP,STK,SMART,,,,,BOT|4/4/2011|3|-NRB|-NRB
DES,GD,STK,SMART,,,,,SLD|4/4/2011|2|-NRB|-NRB
DES,CYS,STK,SMART,,,,,SLD|4/4/2011|2|-NRB|-NRB
DES,OVTI,STK,SMART,,,,,SLD|4/4/2011|3|-NRB|-NRB
